test,loss,k_on,superhelical_op,spread,k_closed,k_open,width,threshold,k_ini,gamma,kappa,velocity,stall_torque,k_off
37,inf,0.12607114343594766,-0.0013921943753688916,0.007140164040735742,0.08526177126316076,0.34504501220079115,0.009324615345329726,-0.06702464541055266,0.2173324382349951,0.1,0.5,30.0,12.0,0.13718545832851747
38,0.47748149399771955,0.3320752042392929,-0.07575507439572413,0.011069842595419235,0.2899260458647908,0.25796632003591946,0.009324615345329726,-0.06702464541055266,0.3021553733472227,0.1,0.5,30.0,12.0,0.09483705152448484
39,0.06623447356143962,0.216952869271888,-0.03204440172401139,0.018830799572805076,0.2524732489519079,0.49468026290324835,0.009324615345329726,-0.06702464541055266,0.13526348614432449,0.1,0.5,30.0,12.0,0.21924423282182692
40,0.5394951856948694,0.20774423589171032,-0.031860964851037565,0.022009115105628432,0.1992511996633261,0.4896221009706437,0.009324615345329726,-0.06702464541055266,0.012079679219967526,0.1,0.5,30.0,12.0,0.49808413693422054
41,0.08626794545511592,0.08478241517445556,-0.05879402625914977,0.014895262069772736,0.15550167466308215,0.4753172943447002,0.009324615345329726,-0.06702464541055266,0.08985146774688096,0.1,0.5,30.0,12.0,0.26832219035958427
42,0.12186043437881758,0.2501524895936404,-0.04399992668008426,0.009467503324635355,0.24522756370202028,0.4361148643696704,0.009324615345329726,-0.06702464541055266,0.14253459181762626,0.1,0.5,30.0,12.0,0.35183223627367954
43,3.244943524308434,0.1493270505369675,-0.03464225920253188,0.005008444581428462,0.01016754405701481,0.10122502459686628,0.009324615345329726,-0.06702464541055266,0.05553562977963663,0.1,0.5,30.0,12.0,0.2111209309739452
44,0.21947064847665138,0.1929124871942304,-0.028513427523685023,0.02019115885698943,0.35369194245152286,0.2922077899560178,0.009324615345329726,-0.06702464541055266,0.12954291648980618,0.1,0.5,30.0,12.0,0.370924214039442
45,0.18684041556931072,0.2738403054759213,-0.022816271826426978,0.028627506094288175,0.06774460761295906,0.45763747039558306,0.009324615345329726,-0.06702464541055266,0.07035842248022814,0.1,0.5,30.0,12.0,0.3086098328759439
46,0.13265666556479064,0.23414210158907373,-0.03908615846522289,0.018134724967214848,0.18054443051539087,0.1647088556438102,0.009324615345329726,-0.06702464541055266,0.17512835421547762,0.1,0.5,30.0,12.0,0.24943796586091682
47,0.2062824518862936,0.1534784770632721,-0.04920474580678334,0.010587823583185954,0.21770323188671745,0.01678985666787136,0.009324615345329726,-0.06702464541055266,0.010015944090755374,0.1,0.5,30.0,12.0,0.22230051952036217
48,0.709269317939064,0.056850855084007834,-0.06728156045282721,0.020402316769188487,0.38676647581148615,0.20534487508999488,0.009324615345329726,-0.06702464541055266,0.04215563310767624,0.1,0.5,30.0,12.0,0.06483718055948301
49,0.414500949314092,0.10702058776627497,-0.014636553320730158,0.04580541601221612,0.31065309824532444,0.41788527329645164,0.009324615345329726,-0.06702464541055266,0.08851889134484546,0.1,0.5,30.0,12.0,0.3955567869417789
50,3.267722323339454,0.298440039091071,-0.05978537098329256,0.0494556967275009,0.10698036051743816,0.3799147907341698,0.009324615345329726,-0.06702464541055266,0.2511450080397089,0.1,0.5,30.0,12.0,0.32668694025789086
51,0.1115370498714934,0.21540540350399612,-0.01872192528276756,0.030619947254512392,0.2604128657718529,0.3295099272903472,0.009324615345329726,-0.06702464541055266,0.19909824274911564,0.1,0.5,30.0,12.0,0.26839555218452116
52,0.1450746504502347,0.20023866055151734,-0.05371383758999514,0.014356376653086067,0.33815394455773273,0.2979738622021556,0.009324615345329726,-0.06702464541055266,0.13494091642818265,0.1,0.5,30.0,12.0,0.43700365479659875
53,0.2811062760808763,0.23474287126969812,-0.04183145018256695,0.01646866359273576,0.13146399637841796,0.48502005051352187,0.009324615345329726,-0.06702464541055266,0.21613848952893003,0.1,0.5,30.0,12.0,0.18171820494420882
54,0.5908243863965641,0.023704483699658274,-0.04686879551601656,0.0273790570153276,0.21847205705993727,0.270804950282752,0.009324615345329726,-0.06702464541055266,0.16881576924297853,0.1,0.5,30.0,12.0,0.28821442354955956
55,0.3375160642616268,0.17548061342542826,-0.03113226285650279,0.022732592680336183,0.2813601357616475,0.23342976773307203,0.009324615345329726,-0.06702464541055266,0.09221949424026078,0.1,0.5,30.0,12.0,0.13164592726200178
56,0.801739660848934,0.279261852413024,-0.07190274670676065,0.038107422777978545,0.31244717294200863,0.43251730502708663,0.009324615345329726,-0.06702464541055266,0.051370126343472364,0.1,0.5,30.0,12.0,0.16774581331501698
57,0.2748631339321651,0.06516318051663708,-0.05722987586610165,0.025193669367211926,0.37327123884578506,0.3248700609998272,0.009324615345329726,-0.06702464541055266,0.024169830829900443,0.1,0.5,30.0,12.0,0.012288148805537857
58,0.05466403487315556,0.3591661626207047,-0.027510074011559676,0.019692236717030635,0.17062316899373864,0.3704975762968168,0.009324615345329726,-0.06702464541055266,0.11197143009055702,0.1,0.5,30.0,12.0,0.24865941070536302
59,1.1934926924534346,0.4847045198156241,-0.0645026715950693,0.03574851471409822,0.05107116404358883,0.12562065860263918,0.009324615345329726,-0.06702464541055266,0.11399121012879848,0.1,0.5,30.0,12.0,0.4934906592336745
60,0.22829590079970058,0.39073528954305037,-0.02818907199172388,0.03244932856711526,0.012531209392478093,0.18153000096704777,0.009324615345329726,-0.06702464541055266,0.24536684168525716,0.1,0.5,30.0,12.0,0.431496305529501
61,1.630645334382951,0.36195172907758344,-0.01808110363727538,0.013646412586526924,0.14600013402196269,0.3642926579048924,0.009324615345329726,-0.06702464541055266,0.07498928302738803,0.1,0.5,30.0,12.0,0.4743662509609698
62,8.398651673793186,0.42701963199584236,-0.009734921239986427,0.005098440038915783,0.11260626817576506,0.217601015906264,0.009324615345329726,-0.06702464541055266,0.4924196439109517,0.1,0.5,30.0,12.0,0.36612325084250186
63,0.36163829844559786,0.33527534983252244,-0.03951651222535544,0.02940530568928519,0.17480169030601608,0.2735570567535914,0.009324615345329726,-0.06702464541055266,0.22682902395000132,0.1,0.5,30.0,12.0,0.24382589974613073
64,1.4128009403799462,0.4013054922600168,-0.002537589044485415,0.017033405900788244,0.0844373169471778,0.3066525721145664,0.009324615345329726,-0.06702464541055266,0.10274456139099328,0.1,0.5,30.0,12.0,0.03833788915622079
65,0.05989167990559285,0.3139063442062695,-0.035797079789581895,0.019242705693787374,0.2057348992042461,0.3529260061687948,0.009324615345329726,-0.06702464541055266,0.15037545238660996,0.1,0.5,30.0,12.0,0.2214025404845515
66,0.2833956584313748,0.32422617763627803,-0.03597081052180315,0.019821628247757545,0.19609483178285242,0.3476315051896946,0.009324615345329726,-0.06702464541055266,0.15239331046064378,0.1,0.5,30.0,12.0,0.3300721087836771
67,0.6232396305948792,0.3115893136294248,-0.05222451436686006,0.02200355698401836,0.20465898994880627,0.4079956221406083,0.009324615345329726,-0.06702464541055266,0.185159912820143,0.1,0.5,30.0,12.0,0.231242507311702
68,0.7243415201314651,0.37464593598751694,-0.04693414061608543,0.025946475616337058,0.23376502579109615,0.37971878154895455,0.009324615345329726,-0.06702464541055266,0.16160723546244032,0.1,0.5,30.0,12.0,0.18758451050254873
69,0.28449748084271204,0.445064125845899,-0.0219353378507755,0.023583780371289182,0.16777324076165828,0.25841221466543574,0.009324615345329726,-0.06702464541055266,0.028908212543626202,0.1,0.5,30.0,12.0,0.2620998615554197
70,0.2132214245410716,0.4709408190249193,-0.027842674460302738,0.012594503155323272,0.10305203465452104,0.34215517577196825,0.009324615345329726,-0.06702464541055266,0.06107988656129332,0.1,0.5,30.0,12.0,0.09800840847747466
71,0.028845912609272557,0.3516125016202686,-0.042450141604736945,0.010931418983531518,0.12450755629773218,0.3890802628202799,0.009324615345329726,-0.06702464541055266,0.12089015928435894,0.1,0.5,30.0,12.0,0.2912066054628253
72,0.4082495097039023,0.4151031254337782,-0.05635473230110299,0.007471718935025072,0.038325442309357804,0.3857510652390016,0.009324615345329726,-0.06702464541055266,0.12205620236397378,0.1,0.5,30.0,12.0,0.2898264905781131
