test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
74,0.9017123398404238,0.0411948387455736,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
75,0.16306051762706822,0.021115931292918985,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
76,0.2832259696075947,0.03053083972761587,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
77,0.5029888775757737,0.04594098049692441,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
78,0.3982520418632259,0.053632942962060864,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
79,0.3182721596984829,0.0065907204125058155,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
80,0.3710498321008132,0.06220356329709831,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
81,0.4836310389636943,0.01348028463151317,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
82,0.15991045288827174,0.039397314695128825,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
83,1.5893499738174124,0.07859704898639794,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
84,0.4115031391628326,0.10624936693643341,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
85,0.37288347699579544,0.12560890475921596,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
86,0.838326033740513,0.08931912960475337,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
87,0.1735354217710582,0.025738753281109458,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
88,0.19193307278967164,0.06082061716626004,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
89,0.6016629714885287,0.06932448911357522,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
90,0.20083551350366968,0.05187713078280439,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
91,0.25610231480830936,0.008049654464962596,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
92,0.908421934054028,0.0952219076171177,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
93,0.1242008669192424,0.022609314596004706,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
94,0.15790763701996,0.01746618302389672,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
95,0.368118596889713,0.07338130448448812,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
96,1.1728553379753481,0.08406996535087427,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
97,0.403559201005064,0.0025566155295234927,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
98,0.15841468851753296,0.029577760219337293,0.008982728896412821,-0.07376554902612806,0.05,0.5,30.0,12.0
