test,loss,k_on,width,threshold,gamma,kappa,velocity,stall_torque
60,0.5538774409244576,0.15644848042196613,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
61,0.0902779633700215,0.02270597834310107,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
62,2.6180978259258176,0.11974513465117842,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
63,0.30597621036123346,0.1435386319749138,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
64,0.2647834852059094,0.007253872421815105,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
65,0.21847453820676152,0.032091569879264877,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
66,0.2277374737490896,0.016676111208227457,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
67,0.12394518932239969,0.037990258049036454,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
68,0.1264838072031857,0.028243844065344158,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
69,0.43250001542821936,0.08965303581706827,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
70,0.16135238317097583,0.05626454316182309,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
71,0.08490748318308383,0.04721291032526807,0.008919114726247282,-0.07534726136520323,0.05,0.5,30.0,12.0
