frame,time,type,name,concentration
81,20.25,RNAP,RNAP,0.2
81,20.25,topo,topoI,0.17
81,20.25,topo,gyrase,0.44
81,20.25,lacI,lacI,0.2
82,20.5,RNAP,RNAP,0.2
82,20.5,topo,topoI,0.17
82,20.5,topo,gyrase,0.44
82,20.5,lacI,lacI,0.2
83,20.75,RNAP,RNAP,0.2
83,20.75,topo,topoI,0.17
83,20.75,topo,gyrase,0.44
83,20.75,lacI,lacI,0.2
84,21.0,RNAP,RNAP,0.2
84,21.0,topo,topoI,0.17
84,21.0,topo,gyrase,0.44
84,21.0,lacI,lacI,0.2
85,21.25,RNAP,RNAP,0.2
85,21.25,topo,topoI,0.17
85,21.25,topo,gyrase,0.44
85,21.25,lacI,lacI,0.2
86,21.5,RNAP,RNAP,0.2
86,21.5,topo,topoI,0.17
86,21.5,topo,gyrase,0.44
86,21.5,lacI,lacI,0.2
87,21.75,RNAP,RNAP,0.2
87,21.75,topo,topoI,0.17
87,21.75,topo,gyrase,0.44
87,21.75,lacI,lacI,0.2
88,22.0,RNAP,RNAP,0.2
88,22.0,topo,topoI,0.17
88,22.0,topo,gyrase,0.44
88,22.0,lacI,lacI,0.2
89,22.25,RNAP,RNAP,0.2
89,22.25,topo,topoI,0.17
89,22.25,topo,gyrase,0.44
89,22.25,lacI,lacI,0.2
90,22.5,RNAP,RNAP,0.2
90,22.5,topo,topoI,0.17
90,22.5,topo,gyrase,0.44
90,22.5,lacI,lacI,0.2
91,22.75,RNAP,RNAP,0.2
91,22.75,topo,topoI,0.17
91,22.75,topo,gyrase,0.44
91,22.75,lacI,lacI,0.2
92,23.0,RNAP,RNAP,0.2
92,23.0,topo,topoI,0.17
92,23.0,topo,gyrase,0.44
92,23.0,lacI,lacI,0.2
93,23.25,RNAP,RNAP,0.2
93,23.25,topo,topoI,0.17
93,23.25,topo,gyrase,0.44
93,23.25,lacI,lacI,0.2
94,23.5,RNAP,RNAP,0.2
94,23.5,topo,topoI,0.17
94,23.5,topo,gyrase,0.44
94,23.5,lacI,lacI,0.2
95,23.75,RNAP,RNAP,0.2
95,23.75,topo,topoI,0.17
95,23.75,topo,gyrase,0.44
95,23.75,lacI,lacI,0.2
96,24.0,RNAP,RNAP,0.2
96,24.0,topo,topoI,0.17
96,24.0,topo,gyrase,0.44
96,24.0,lacI,lacI,0.2
97,24.25,RNAP,RNAP,0.2
97,24.25,topo,topoI,0.17
97,24.25,topo,gyrase,0.44
97,24.25,lacI,lacI,0.2
98,24.5,RNAP,RNAP,0.2
98,24.5,topo,topoI,0.17
98,24.5,topo,gyrase,0.44
98,24.5,lacI,lacI,0.2
99,24.75,RNAP,RNAP,0.2
99,24.75,topo,topoI,0.17
99,24.75,topo,gyrase,0.44
99,24.75,lacI,lacI,0.2
100,25.0,RNAP,RNAP,0.2
100,25.0,topo,topoI,0.17
100,25.0,topo,gyrase,0.44
100,25.0,lacI,lacI,0.2
101,25.25,RNAP,RNAP,0.2
101,25.25,topo,topoI,0.17
101,25.25,topo,gyrase,0.44
101,25.25,lacI,lacI,0.2
102,25.5,RNAP,RNAP,0.2
102,25.5,topo,topoI,0.17
102,25.5,topo,gyrase,0.44
102,25.5,lacI,lacI,0.2
103,25.75,RNAP,RNAP,0.2
103,25.75,topo,topoI,0.17
103,25.75,topo,gyrase,0.44
103,25.75,lacI,lacI,0.2
104,26.0,RNAP,RNAP,0.2
