test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,sigma0_gyrase
32,7.811726012157642,0.01522555466798422,0.2473097653294803,8.805199729628828,0.07909833977983659,0.10082385431895163,11.628402290439265,-0.14972620668733697
33,4.288609579731837,0.029545154712630604,0.4775634442031229,14.432195164295324,0.07022249604056596,0.47324898443487134,4.858096811971908,-0.12728907349907786
34,4.4542931748021966,0.02258456862346809,0.5852668432584129,16.963347448493295,0.0933464417744125,0.33864374059824853,3.0248860129023822,-0.14484980691414845
35,0.39358293284205603,0.008600943966983451,0.17128145685893414,11.730866867196873,0.08302344004283763,0.15832864102084962,8.138232082061823,-0.11341722012982662
36,7.576168976475955,0.09991351996856335,0.1357595755131697,9.161696671390462,0.05751887985959143,0.41595145614502194,8.16993629345089,-0.10789297475671128
37,0.7378538130653517,0.05392712797066231,0.37134827630611844,5.231865589191085,0.03981663830961288,0.16650332127748227,14.034411011998124,-0.09604690209036804
38,0.47684432390962805,0.01465283756096631,0.47402728930710364,11.619396850398893,0.09765221362821525,0.2786756588893067,6.884363256753283,-0.11304477902665523
39,1.5572459302479038,0.060192323291433314,0.6894797289741081,11.753115531578954,0.09631357233126374,0.26452409315193154,12.310914549020291,-0.11411303758857722
40,9.25164780154362,0.005498638744135654,0.016318089014181386,10.223469505033567,0.08177156747596204,0.3825295422064774,9.402769661954649,-0.07014089662903655
41,1.8173877621509575,0.03705022919367074,0.9966578057857491,8.187988704057078,0.09935148765072982,0.2927885511321005,8.086612084383049,-0.09497308521484402
42,2.984896446866096,0.04805580836103052,0.5933104708565311,16.222615613212938,0.07581924932384708,0.503411786479168,17.12798286021355,-0.10410435981480629
43,1.4862850381530188,0.011565103475950952,0.49183463148692047,5.25859347317238,0.09809855354831185,0.2280487356543605,10.221791750245147,-0.08786493246820543
44,21.56481672070219,0.0018466266740109066,0.7393417458919991,9.7252392720015,0.06758411973252296,0.1569087461219685,13.852997115536345,-0.13408125107182273
45,3.6278293135002952,0.026129080632738458,0.11893662996583099,11.435331024402723,0.08340784545325546,0.06203589457190216,4.222075701331997,-0.11255762099015021
46,5.187838163948345,0.019346100462977925,0.8006460271259102,6.100016028172378,0.09997318591907092,0.6858895613886484,10.918409685936254,-0.07606219061143818
47,12.221154102840185,0.03201675501524465,0.5363083812714364,3.7153353509741214,0.07778786476274627,0.44035311825404144,0.9078124018287461,-0.1064899942740233
48,5.330821015060968,0.06785414557751758,0.641821974983482,13.01469721284392,0.048444882894506554,0.3564236409959408,7.397672799244808,-0.09797579879639468
