test,loss,RNAP_dist,fold_change,k_on,width,threshold,k_off,k_cat
36,1.3668818512877878,50.84513863380377,7.915534295574787,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
37,4.77825237032974,210.1692854028232,13.023662311181246,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
38,2.949998325364452,23.718750051633464,7.389512172388953,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
39,3.0462867470578097,343.3019064235954,1.6707124532580955,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
40,6.817552333939384,118.6197091668449,23.71810734420126,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
41,8.277566860877528,166.50084794575957,17.435493421938695,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
42,1.9301731362807857,86.76964284873205,6.048847704057134,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
43,0.9998330466718645,233.0007092671819,11.398974082929925,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
44,2.9965795231090913,280.5622286410037,27.84826465326404,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
45,10.121405804877368,427.07839508561324,36.5480954235737,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
46,2.0276115741544958,102.84442790034733,3.101815555679174,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
47,5.095308008124918,140.44256356671818,22.69379822461141,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
48,1.1762929504692508,204.42963019285563,6.451551436318377,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
49,3.404282449750231,354.7315673473132,17.981066294996936,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
50,0.45029939864614754,177.08325063106045,14.142995098263679,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
51,1.9061773855421025,264.61308101387544,26.91625751507453,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
52,3.603910695956438,221.7749546508707,0.7479596406870419,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
53,1.4307631586220924,79.09483714975859,10.659032734167281,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
54,0.9813598169549705,244.77935964489083,3.5219471481108933,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
55,11.157862851553164,163.85991317497673,49.794699967251056,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
56,5.364268610371731,496.4835880083526,16.414766971762038,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
57,0.43866371789495917,49.08491355297252,29.682013366876284,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
